dev-category,NAME OF DATA ELEMENT,developer-friendly name,API data type,VARIABLE NAME
academics,Percentage of degrees awarded in Mathematics And Statistics.,program_percentage.mathematics,float,PCIP27
academics,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,program_percentage.mechanic_repair_technology,float,PCIP47
academics,Percentage of degrees awarded in Military Technologies And Applied Sciences.,program_percentage.military,float,PCIP29
academics,Percentage of degrees awarded in Multi/Interdisciplinary Studies.,program_percentage.multidiscipline,float,PCIP30
academics,Percentage of degrees awarded in Natural Resources And Conservation.,program_percentage.resources,float,PCIP03
academics,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",program_percentage.parks_recreation_fitness,float,PCIP31
academics,Percentage of degrees awarded in Personal And Culinary Services.,program_percentage.personal_culinary,float,PCIP12
academics,Percentage of degrees awarded in Philosophy And Religious Studies.,program_percentage.philosophy_religious,float,PCIP38
academics,Percentage of degrees awarded in Physical Sciences.,program_percentage.physical_science,float,PCIP40
academics,Percentage of degrees awarded in Precision Production.,program_percentage.precision_production,float,PCIP48
academics,Percentage of degrees awarded in Psychology.,program_percentage.psychology,float,PCIP42
academics,Percentage of degrees awarded in Public Administration And Social Service Professions.,program_percentage.public_administration_social_service,float,PCIP44
academics,Percentage of degrees awarded in Science Technologies/Technicians.,program_percentage.science_technology,float,PCIP41
academics,Percentage of degrees awarded in Social Sciences.,program_percentage.social_science,float,PCIP45
academics,Percentage of degrees awarded in Theology And Religious Vocations.,program_percentage.theology_religious_vocation,float,PCIP39
academics,Percentage of degrees awarded in Transportation And Materials Moving.,program_percentage.transportation,float,PCIP49
academics,Percentage of degrees awarded in Visual And Performing Arts.,program_percentage.visual_performing,float,PCIP50
admissions,25th percentile of SAT scores at the institution (critical reading),sat_scores.25th_percentile.critical_reading,float,SATVR25
admissions,25th percentile of SAT scores at the institution (math),sat_scores.25th_percentile.math,float,SATMT25
admissions,25th percentile of SAT scores at the institution (writing),sat_scores.25th_percentile.writing,float,SATWR25
admissions,25th percentile of the ACT cumulative score,act_scores.25th_percentile.cumulative,float,ACTCM25
admissions,25th percentile of the ACT English score,act_scores.25th_percentile.english,float,ACTEN25
admissions,25th percentile of the ACT math score,act_scores.25th_percentile.math,float,ACTMT25
admissions,25th percentile of the ACT writing score,act_scores.25th_percentile.writing,float,ACTWR25
admissions,75th percentile of SAT scores at the institution (critical reading),sat_scores.75th_percentile.critical_reading,float,SATVR75
admissions,75th percentile of SAT scores at the institution (math),sat_scores.75th_percentile.math,float,SATMT75
admissions,75th percentile of SAT scores at the institution (writing),sat_scores.75th_percentile.writing,float,SATWR75
admissions,75th percentile of the ACT cumulative score,act_scores.75th_percentile.cumulative,float,ACTCM75
admissions,75th percentile of the ACT English score,act_scores.75th_percentile.english,float,ACTEN75
admissions,75th percentile of the ACT math score,act_scores.75th_percentile.math,float,ACTMT75
admissions,75th percentile of the ACT writing score,act_scores.75th_percentile.writing,float,ACTWR75
admissions,Admission rate,admission_rate.overall,float,ADM_RATE
admissions,Admission rate for all campuses rolled up to the 6-digit OPE ID,admission_rate.by_ope_id,float,ADM_RATE_ALL
admissions,Average SAT equivalent score of students admitted,sat_scores.average.overall,float,SAT_AVG
admissions,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,sat_scores.average.by_ope_id,float,SAT_AVG_ALL
admissions,Midpoint of SAT scores at the institution (critical reading),sat_scores.midpoint.critical_reading,float,SATVRMID
admissions,Midpoint of SAT scores at the institution (math),sat_scores.midpoint.math,float,SATMTMID
admissions,Midpoint of SAT scores at the institution (writing),sat_scores.midpoint.writing,float,SATWRMID
admissions,Midpoint of the ACT cumulative score,act_scores.midpoint.cumulative,float,ACTCMMID
admissions,Midpoint of the ACT English score,act_scores.midpoint.english,float,ACTENMID
admissions,Midpoint of the ACT math score,act_scores.midpoint.math,float,ACTMTMID
admissions,Midpoint of the ACT writing score,act_scores.midpoint.writing,float,ACTWRMID
aid,Percent of all undergraduate students receiving a federal student loan,federal_loan_rate,float,PCTFLOAN
aid,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a federal loan, pooled in rolling averages and suppressed for small n size",ftft_federal_loan_rate_pooled,float,FTFTPCTFLOAN_POOLED_SUPP
aid,Share of students who received a federal loan while in school,students_with_any_loan,float,LOAN_EVER
completion,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",completion_rate_4yr_150nt,float,C150_4
completion,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion), pooled for two year rolling averages",completion_rate_4yr_150nt_pooled,float,C150_4_POOLED
completion,Percent of dependent students who completed within 6 years at original institution,title_iv.depend.completed_by.6yrs,float,DEP_COMP_ORIG_YR6_RT
completion,Percent withdrawn from original institution within 2 years,title_iv.withdrawn_by.2yrs,float,WDRAW_ORIG_YR2_RT
cost,Average cost of attendance (academic year institutions),attendance.academic_year,integer,COSTT4_A
cost,Average cost of attendance (program-year institutions),attendance.program_year,integer,COSTT4_P
cost,"Average net price for $0-$30,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.0-30000,integer,NPT41_OTHER
cost,"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.0-30000,integer,NPT41_PRIV
cost,"Average net price for $0-$30,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.0-30000,integer,NPT41_PROG
cost,"Average net price for $0-$30,000 family income (public institutions)",net_price.public.by_income_level.0-30000,integer,NPT41_PUB
cost,"Average net price for $0-$48,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.0-48000,integer,NPT4_048_OTHER
cost,"Average net price for $0-$48,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.0-48000,integer,NPT4_048_PRIV
cost,"Average net price for $0-$48,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.0-48000,integer,NPT4_048_PROG
cost,"Average net price for $0-$48,000 family income (public institutions)",net_price.public.by_income_level.0-48000,integer,NPT4_048_PUB
cost,"Average net price for $110,000+ family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.110001-plus,integer,NPT45_OTHER
cost,"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.110001-plus,integer,NPT45_PRIV
cost,"Average net price for $110,000+ family income (program-year institutions)",net_price.program_reporter.by_income_level.110001-plus,integer,NPT45_PROG
cost,"Average net price for $110,000+ family income (public institutions)",net_price.public.by_income_level.110001-plus,integer,NPT45_PUB
cost,"Average net price for $30,001-$48,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.30001-48000,integer,NPT42_OTHER
cost,"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.30001-48000,integer,NPT42_PRIV
cost,"Average net price for $30,001-$48,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.30001-48000,integer,NPT42_PROG
cost,"Average net price for $30,001-$48,000 family income (public institutions)",net_price.public.by_income_level.30001-48000,integer,NPT42_PUB
cost,"Average net price for $30,001-$75,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.30001-75000,integer,NPT4_3075_OTHER
cost,"Average net price for $30,001-$75,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.30001-75000,integer,NPT4_3075_PRIV
cost,"Average net price for $30,001-$75,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.30001-75000,integer,NPT4_3075_PROG
cost,"Average net price for $30,001-$75,000 family income (public institutions)",net_price.public.by_income_level.30001-75000,integer,NPT4_3075_PUB
cost,"Average net price for $48,001-$75,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.48001-75000,integer,NPT43_OTHER
cost,"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.48001-75000,integer,NPT43_PRIV
cost,"Average net price for $48,001-$75,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.48001-75000,integer,NPT43_PROG
cost,"Average net price for $48,001-$75,000 family income (public institutions)",net_price.public.by_income_level.48001-75000,integer,NPT43_PUB
cost,"Average net price for $75,000+ family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.75000-plus,integer,NPT4_75UP_OTHER
cost,"Average net price for $75,000+ family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.75000-plus,integer,NPT4_75UP_PRIV
cost,"Average net price for $75,000+ family income (program-year institutions)",net_price.program_reporter.by_income_level.75000-plus,integer,NPT4_75UP_PROG
cost,"Average net price for $75,000+ family income (public institutions)",net_price.public.by_income_level.75000-plus,integer,NPT4_75UP_PUB
cost,"Average net price for $75,001-$110,000 family income (other academic calendar institutions)",net_price.other_acad_calendar.by_income_level.75001-110000,integer,NPT44_OTHER
cost,"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)",net_price.private.by_income_level.75001-110000,integer,NPT44_PRIV
cost,"Average net price for $75,001-$110,000 family income (program-year institutions)",net_price.program_reporter.by_income_level.75001-110000,integer,NPT44_PROG
cost,"Average net price for $75,001-$110,000 family income (public institutions)",net_price.public.by_income_level.75001-110000,integer,NPT44_PUB
cost,Average net price for the largest program at the institution for program-year institutions,avg_net_price.program_year,integer,NPT4_PROG
cost,"Average net price for the largest program at the institution for schools on ""other"" academic year calendars",avg_net_price.other_academic_year,integer,NPT4_OTHER
cost,Average net price for Title IV institutions (private for-profit and nonprofit institutions),avg_net_price.private,integer,NPT4_PRIV
cost,Average net price for Title IV institutions (public institutions),avg_net_price.public,integer,NPT4_PUB
cost,In-state tuition and fees,tuition.in_state,integer,TUITIONFEE_IN
cost,Number of Title IV students (other academic calendar institutions),title_iv.academic_year,integer,NUM4_OTHER
cost,Number of Title IV students (private for-profit and nonprofit institutions),title_iv.private.all,integer,NUM4_PRIV
cost,Number of Title IV students (program-year institutions),title_iv.program_year,integer,NUM4_PROG
cost,Number of Title IV students (public institutions),title_iv.public.all,integer,NUM4_PUB
cost,"Number of Title IV students, $0-$30,000 family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.0-30000,integer,NUM41_OTHER
cost,"Number of Title IV students, $0-$30,000 family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.0-30000,integer,NUM41_PRIV
cost,"Number of Title IV students, $0-$30,000 family income (program-year institutions)",title_iv.program_reporter.by_income_level.0-30000,integer,NUM41_PROG
cost,"Number of Title IV students, $0-$30,000 family income (public institutions)",title_iv.public.by_income_level.0-30000,integer,NUM41_PUB
cost,"Number of Title IV students, $110,000+ family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.110001-plus,integer,NUM45_OTHER
cost,"Number of Title IV students, $110,000+ family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.110001-plus,integer,NUM45_PRIV
cost,"Number of Title IV students, $110,000+ family income (program-year institutions)",title_iv.program_reporter.by_income_level.110001-plus,integer,NUM45_PROG
cost,"Number of Title IV students, $110,000+ family income (public institutions)",title_iv.public.by_income_level.110001-plus,integer,NUM45_PUB
cost,"Number of Title IV students, $30,001-$48,000 family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.30001-48000,integer,NUM42_OTHER
cost,"Number of Title IV students, $30,001-$48,000 family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.30001-48000,integer,NUM42_PRIV
cost,"Number of Title IV students, $30,001-$48,000 family income (program-year institutions)",title_iv.program_reporter.by_income_level.30001-48000,integer,NUM42_PROG
cost,"Number of Title IV students, $30,001-$48,000 family income (public institutions)",title_iv.public.by_income_level.30001-48000,integer,NUM42_PUB
cost,"Number of Title IV students, $48,001-$75,000 family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.48001-75000,integer,NUM43_OTHER
cost,"Number of Title IV students, $48,001-$75,000 family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.48001-75000,integer,NUM43_PRIV
cost,"Number of Title IV students, $48,001-$75,000 family income (program-year institutions)",title_iv.program_reporter.by_income_level.48001-75000,integer,NUM43_PROG
cost,"Number of Title IV students, $48,001-$75,000 family income (public institutions)",title_iv.public.by_income_level.48001-75000,integer,NUM43_PUB
cost,"Number of Title IV students, $75,001-$110,000 family income (other academic calendar institutions)",title_iv.other_acad_calendar.by_income_level.75001-110000,integer,NUM44_OTHER
cost,"Number of Title IV students, $75,001-$110,000 family income (private for-profit and nonprofit institutions)",title_iv.private.by_income_level.75001-110000,integer,NUM44_PRIV
cost,"Number of Title IV students, $75,001-$110,000 family income (program-year institutions)",title_iv.program_reporter.by_income_level.75001-110000,integer,NUM44_PROG
cost,"Number of Title IV students, $75,001-$110,000 family income (public institutions)",title_iv.public.by_income_level.75001-110000,integer,NUM44_PUB
cost,Out-of-state tuition and fees,tuition.out_of_state,integer,TUITIONFEE_OUT
cost,Tuition and fees for program-year institutions,tuition.program_year,integer,TUITIONFEE_PROG
cost,"Tuition, fees, books, and supply charges for largest program (annualized based on institution's academic year)",program_reporter.program_1.cip_6_digit.annualized,integer,CIPTFBSANNUAL1
cost,"Tuition, fees, books, and supply charges for largest program (full program)",program_reporter.program_1.cip_6_digit.full_program,integer,CIPTFBS1
cost,"Tuition, fees, books, and supply charges for program #2 (annualized based on institution's academic year)",program_reporter.program_2.cip_6_digit.annualized,integer,CIPTFBSANNUAL2
cost,"Tuition, fees, books, and supply charges for program #2 (full program)",program_reporter.program_2.cip_6_digit.full_program,integer,CIPTFBS2
cost,"Tuition, fees, books, and supply charges for program #3 (annualized based on institution's academic year)",program_reporter.program_3.cip_6_digit.annualized,integer,CIPTFBSANNUAL3
cost,"Tuition, fees, books, and supply charges for program #3 (full program)",program_reporter.program_3.cip_6_digit.full_program,integer,CIPTFBS3
cost,"Tuition, fees, books, and supply charges for program #4 (annualized based on institution's academic year)",program_reporter.program_4.cip_6_digit.annualized,integer,CIPTFBSANNUAL4
cost,"Tuition, fees, books, and supply charges for program #4 (full program)",program_reporter.program_4.cip_6_digit.full_program,integer,CIPTFBS4
cost,"Tuition, fees, books, and supply charges for program #5 (annualized based on institution's academic year)",program_reporter.program_5.cip_6_digit.annualized,integer,CIPTFBSANNUAL5
cost,"Tuition, fees, books, and supply charges for program #5 (full program)",program_reporter.program_5.cip_6_digit.full_program,integer,CIPTFBS5
cost,"Tuition, fees, books, and supply charges for program #6 (annualized based on institution's academic year)",program_reporter.program_6.cip_6_digit.annualized,integer,CIPTFBSANNUAL6
cost,"Tuition, fees, books, and supply charges for program #6 (full program)",program_reporter.program_6.cip_6_digit.full_program,integer,CIPTFBS6
earnings,Mean earnings of students working and not enrolled 6 years after entry,6_yrs_after_entry.working_not_enrolled.mean_earnings,integer,MN_EARN_WNE_P6
earnings,Mean earnings of students working and not enrolled 7 years after entry,7yrs_after_entry.working_not_enrolled.mean_earnings,integer,MN_EARN_WNE_P7
earnings,Mean earnings of students working and not enrolled 8years after entry,8_yrs_after_entry.working_not_enrolled.mean_earnings,integer,MN_EARN_WNE_P8
earnings,Mean earnings of students working and not enrolled 9 years after entry,9yrs_after_entry.working_not_enrolled.mean_earnings,integer,MN_EARN_WNE_P9
earnings,Mean earnings of students working and not enrolled 10 years after entry,10_yrs_after_entry.working_not_enrolled.mean_earnings,integer,MN_EARN_WNE_P10
school,Average faculty salary,faculty_salary,integer,AVGFACSAL
school,Carnegie Classification -- basic,carnegie_basic,integer,CCBASIC
school,Carnegie Classification -- size and setting,carnegie_size_setting,integer,CCSIZSET
school,Carnegie Classification -- undergraduate profile,carnegie_undergrad,integer,CCUGPROF
school,Control of institution,ownership,integer,CONTROL
school,"Control of institution, per PEPS",ownership_peps,integer,SCHTYPE
school,Degree of urbanization of institution,degree_urbanization,integer,LOCALE2
school,FIPS code for state,state_fips,integer,ST_FIPS
school,"Flag for currently operating institution, 0=closed, 1=operating",operating,integer,CURROPER
school,Flag for distance-education-only education,online_only,integer,DISTANCEONLY
school,Flag for main campus,main_campus,integer,MAIN
school,Flag for men-only college,men_only,integer,MENONLY
school,Flag for women-only college,women_only,integer,WOMENONLY
school,Instructional expenditures per full-time equivalent student,instructional_expenditure_per_fte,integer,INEXPFTE
school,Level of institution,institutional_characteristics.level,integer,ICLEVEL
school,Locale of institution,locale,integer,LOCALE
school,Net tuition revenue per full-time equivalent student,tuition_revenue_per_fte,integer,TUITFTE
school,Number of branch campuses,branches,integer,NUMBRANCH
school,Predominant degree awarded (recoded 0s and 4s),degrees_awarded.predominant_recoded,integer,SCH_DEG
school,"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting",degrees_awarded.predominant,integer,PREDDEG
school,Proportion of faculty that is full-time,ft_faculty_rate,float,PFTFAC
school,Region (IPEDS),region_id,integer,REGION
student,"Aided students with family incomes between $110,001+ in nominal dollars",share_highincome.110001plus,float,INC_PCT_H2
student,"Aided students with family incomes between $30,001-$48,000 in nominal dollars",share_middleincome.30001_48000,float,INC_PCT_M1
student,"Aided students with family incomes between $48,001-$75,000 in nominal dollars",share_middleincome.48001_75000,float,INC_PCT_M2
student,"Aided students with family incomes between $75,001-$110,000 in nominal dollars",share_highincome.75001_110000,float,INC_PCT_H1
student,Average age of entry,demographics.age_entry,integer,AGE_ENTRY
student,Average family income for independent students in real 2015 dollars,demographics.avg_family_income_independents,integer,FAMINC_IND
student,Average family income in real 2015 dollars,demographics.avg_family_income,integer,FAMINC
student,Average number of students who sent their FAFSA reports to at least one college,fafsa_sent.overall,integer,FSEND_COUNT
student,Average of the age of entry squared,demographics.age_entry_squared,integer,AGE_ENTRY_SQ
student,Average of the log of family income,demographics.avg_family_income_log,integer,LNFAMINC
student,Average of the log of family income for independent students,demographics.avg_family_income_independents_log,integer,LNFAMINC_IND
student,Enrollment of all undergraduate students,enrollment.all,integer,UG
student,Enrollment of undergraduate certificate/degree-seeking students,size,integer,UGDS
student,Log of the median household income,demographics.median_hh_income_log,integer,LN_MEDIAN_HH_INC
student,Median family income in real 2015 dollars,demographics.median_family_income,integer,MD_FAMINC
student,Median household income,demographics.median_hh_income,integer,MEDIAN_HH_INC
student,"Number of full-time, first-time degree/certificate-seeking undergraduate students (denominator for percent full-time, first-time degree/certificate-seeking undergraduates receiving a pell grant or federal student loan), pooled in rolling averages",ftft_undergrads_with_pell_grant_or_federal_student_loan_pooled,integer,SCUGFFN_POOLED
student,Percent of students over 23 at entry,demographics.over_23_at_entry,float,AGEGE24
student,"Percent of the population from students' zip codes over 25 with a professional degree, via Census data",demographics.share_professional_degree_age25.home_ZIP,float,PCT_GRAD_PROF
student,"Percent of the population from students' zip codes that is Asian, via Census data",demographics.share_asian.home_ZIP,float,PCT_ASIAN
student,"Percent of the population from students' zip codes that is Black, via Census data",demographics.share_black.home_ZIP,float,PCT_BLACK
student,"Percent of the population from students' zip codes that is Hispanic, via Census data",demographics.share_hispanic.home_ZIP,float,PCT_HISPANIC
student,"Percent of the population from students' zip codes that is White, via Census data",demographics.share_white.home_ZIP,float,PCT_WHITE
student,"Percent of the population from students' zip codes that was born in the US, via Census data",demographics.share_born_US.home_ZIP,float,PCT_BORN_US
student,"Percent of the population from students' zip codes with a bachelor's degree over the age 25, via Census data",demographics.share_bachelors_degree_age25.home_ZIP,float,PCT_BA
student,Percentage of undergraduates aged 25 and above,share_25_older,float,UG25ABV
student,"Poverty rate, via Census data",demographics.poverty_rate,float,POVERTY_RATE
student,Share of dependent students,demographics.dependent,float,DEPENDENT
student,Share of female students,demographics.female_share,float,FEMALE
student,Share of first-generation students,demographics.first_generation,float,FIRST_GEN
student,Share of married students,demographics.married,float,MARRIED
