,CIP01BACHL,CIP04BACHL,CIP05BACHL,CIP26BACHL,CIP52BACHL,CIP09BACHL,CIP10BACHL,CIP11BACHL,CIP46BACHL,CIP13BACHL,CIP15BACHL,CIP14BACHL,CIP23BACHL,CIP19BACHL,CIP16BACHL,CIP51BACHL,CIP54BACHL,CIP43BACHL,CIP22BACHL,CIP24BACHL,CIP25BACHL,CIP27BACHL,CIP47BACHL,CIP29BACHL,CIP30BACHL,CIP03BACHL,CIP31BACHL,CIP12BACHL,CIP38BACHL,CIP40BACHL,CIP48BACHL,CIP42BACHL,CIP44BACHL,CIP41BACHL,CIP45BACHL,CIP39BACHL,CIP49BACHL,CIP50BACHL,PRGMOFR,PCIP01,PCIP04,PCIP05,PCIP26,PCIP52,PCIP09,PCIP10,PCIP11,PCIP46,PCIP13,PCIP15,PCIP14,PCIP23,PCIP19,PCIP16,PCIP51,PCIP54,PCIP43,PCIP22,PCIP24,PCIP25,PCIP27,PCIP47,PCIP29,PCIP30,PCIP03,PCIP31,PCIP12,PCIP38,PCIP40,PCIP48,PCIP42,PCIP44,PCIP41,PCIP45,PCIP39,PCIP49,PCIP50,SATVR25,SATMT25,SATWR25,ACTCM25,ACTEN25,ACTMT25,ACTWR25,SATVR75,SATMT75,SATWR75,ACTCM75,ACTEN75,ACTMT75,ACTWR75,ADM_RATE,ADM_RATE_ALL,SAT_AVG,SAT_AVG_ALL,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,PCTFLOAN,FTFTPCTFLOAN_POOLED_SUPP,LOAN_EVER,C150_4,C150_4_POOLED,DEP_COMP_ORIG_YR6_RT,WDRAW_ORIG_YR2_RT,COSTT4_A,COSTT4_P,NPT41_OTHER,NPT41_PRIV,NPT41_PROG,NPT41_PUB,NPT4_048_OTHER,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_PUB,NPT45_OTHER,NPT45_PRIV,NPT45_PROG,NPT45_PUB,NPT42_OTHER,NPT42_PRIV,NPT42_PROG,NPT42_PUB,NPT4_3075_OTHER,NPT4_3075_PRIV,NPT4_3075_PROG,NPT4_3075_PUB,NPT43_OTHER,NPT43_PRIV,NPT43_PROG,NPT43_PUB,NPT4_75UP_OTHER,NPT4_75UP_PRIV,NPT4_75UP_PROG,NPT4_75UP_PUB,NPT44_OTHER,NPT44_PRIV,NPT44_PROG,NPT44_PUB,NPT4_PROG,NPT4_OTHER,NPT4_PRIV,NPT4_PUB,TUITIONFEE_IN,NUM4_OTHER,NUM4_PRIV,NUM4_PROG,NUM4_PUB,NUM41_OTHER,NUM41_PRIV,NUM41_PROG,NUM41_PUB,NUM45_OTHER,NUM45_PRIV,NUM45_PROG,NUM45_PUB,NUM42_OTHER,NUM42_PRIV,NUM42_PROG,NUM42_PUB,NUM43_OTHER,NUM43_PRIV,NUM43_PROG,NUM43_PUB,NUM44_OTHER,NUM44_PRIV,NUM44_PROG,NUM44_PUB,TUITIONFEE_OUT,TUITIONFEE_PROG,CIPTFBSANNUAL1,CIPTFBS1,CIPTFBSANNUAL2,CIPTFBS2,CIPTFBSANNUAL3,CIPTFBS3,CIPTFBSANNUAL4,CIPTFBS4,CIPTFBSANNUAL5,CIPTFBS5,CIPTFBSANNUAL6,CIPTFBS6,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,AVGFACSAL,CCBASIC,CCSIZSET,CCUGPROF,CONTROL,SCHTYPE,LOCALE2,ST_FIPS,CURROPER,DISTANCEONLY,MAIN,MENONLY,WOMENONLY,INEXPFTE,ICLEVEL,LOCALE,TUITFTE,NUMBRANCH,SCH_DEG,PREDDEG,PFTFAC,REGION,INC_PCT_H2,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,AGE_ENTRY,FAMINC_IND,FAMINC,FSEND_COUNT,AGE_ENTRY_SQ,LNFAMINC,LNFAMINC_IND,UG,UGDS,LN_MEDIAN_HH_INC,MD_FAMINC,MEDIAN_HH_INC,SCUGFFN_POOLED,AGEGE24,PCT_GRAD_PROF,PCT_ASIAN,PCT_BLACK,PCT_HISPANIC,PCT_WHITE,PCT_BORN_US,PCT_BA,UG25ABV,POVERTY_RATE,DEPENDENT,FEMALE,FIRST_GEN,MARRIED
1410,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,,0.0,0.0,0.002,0.1786,0.019,0.0,0.0138,0.0571,0.0,0.002,0.0,0.2246,0.0433,0.0,0.0079,0.086,0.0112,0.0,0.0,0.0007,0.0,0.0532,0.0,0.0,0.0446,0.0098,0.0,0.0,0.0026,0.0348,0.0,0.0236,0.0,0.0,0.1425,0.0,0.0,0.0427,710,740,670,33,34,31,8,760,800,770,35,36,35,10,0.1148,0.1148,1513,1513,735,770,720,34,35,33,9,0.3164,0.3215,0.8801324503,0.9299,0.9284,0.900889453621,0.069719042664,69863,,,13968,,,,10712,,,,42583,,,,8852,,,,12497,,,,15396,,,,37639,,,,19618,,,,,30701,,53740,,709,,,,40,,,,401,,,,70,,,,88,,,,110,,,53740,,,,,,,,,,,,,,68000,69300,78400,79700,89300,13332,15,16,14,2,2,,24,1,0,1,0,0,83851,1,11,26601,1,3,3,0.9748,2,0.4052980132,0.1086092715,0.1125827815,0.1251655629,21.056953642,30778.290429,104767.69735,,,,,,5567,11.2299995422363,79479.5,81539.46,2787,0.34999999403953,16.0200004577636,6.07000017166137,12.4600000381469,7.73999977111816,75.6999969482422,85.8099975585937,22.5400009155273,0.0516,6.17999982833862,0.7993377483,0.517218543,0.1312714777,0.0364238411
1412,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,,0.0,0.0,0.0,0.0579,0.39299999999999996,0.0982,0.0,0.0134,0.0,0.0228,0.0,0.0341,0.0372,0.0,0.0134,0.0672,0.0228,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0486,0.0,0.0,0.0,0.0052,0.0093,0.0,0.0745,0.0,0.0,0.0796,0.0,0.0,0.0031,,,,,,,,,,,,,,,0.7874,0.7874,,,,,,,,,,0.5271,0.5518,0.9733637747,0.7966,0.8038,,0.025423728814,64159,,,29831,,,,30404,,,,44500,,,,31065,,,,32049,,,,32631,,,,42352,,,,34176,,,,,39168,,48920,,596,,,,52,,,,335,,,,45,,,,76,,,,88,,,48920,,,,,,,,,,,,,,52000,57600,64000,67300,78300,8880,18,14,12,2,2,,24,1,0,1,0,0,12981,1,11,24622,1,3,3,0.9613,2,0.5152207002,0.0799086758,0.1179604262,0.1727549467,19.453576865,29893.8125,133604.72907,,,,,,3860,11.3800001144409,109587.5,92129.84,2115,0.00999999977648,15.789999961853,4.1100001335144,9.21000003814697,5.40999984741211,82.9100036621093,87.7300033569336,22.3999996185302,0.0084,4.11999988555908,0.9756468798,0.602739726,0.1349453978,
1413,0,0,2,2,2,2,2,2,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,0,2,2,0,2,0,0,0,,0.0,0.0,0.0034,0.0032,0.2654,0.0162,0.006,0.2615,0.0,0.0,0.0,0.0,0.0103,0.0,0.0098,0.0377,0.0117,0.048,0.0109,0.2141,0.0,0.0,0.0,0.0,0.0022,0.0062,0.0,0.0,0.0,0.0,0.0,0.0548,0.0085,0.0,0.0301,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.1924,0.3147,0.555906108,0.1506,0.12,0.231981981982,0.362749397062,17822,,,,,13672,,,,13672,,,,,,,,,,,,,,,,,,,,,,,,,,,,13672,7416,,,,70,,,,70,,,,0,,,,0,,,,0,,,,0,12336,,,,,,,,,,,,,,47700,49200,51200,54100,55900,6278,18,15,5,1,1,,24,1,0,1,0,0,3053,1,21,8834,1,3,3,0.0502,2,0.0442327108,0.2706335184,0.1513755679,0.0588086825,29.996718829,35032.64608,37491.958228,,,,,,44071,11.1499996185302,30322.5,73191.4,499,0.76999998092651,11.6599998474121,4.51000022888183,29.2299995422363,7.98000001907348,59.560001373291,86.6600036621093,17.9899997711181,0.7566,6.67999982833862,0.089664311,0.5443589096,0.4647196604,0.4433997981
1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.4327,,0.8055555556,,,0.822784810127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,91600,95700,93800,114200,11265,25,13,7,1,1,,24,1,0,1,0,0,32789,1,11,17188,1,3,3,0.4734,2,0.1412037037,0.1828703704,0.1666666667,0.1111111111,27.664351852,34943.73494,55118.277778,,,,,,892,11.1700000762939,38652,76216.4,0,0.69999998807907,15,5.03999996185302,24.5900001525878,5.46999979019165,65.5999984741211,87.0899963378906,20.2099990844726,0.4812,7.28999996185302,0.4236111111,0.8587962963,0.3789473684,0.224537037
1415,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,,0.0,0.0,0.0093,0.1528,0.0134,0.0306,0.0,0.1926,0.0,0.0004,0.0,0.0894,0.0216,0.0063,0.0201,0.0414,0.0209,0.0,0.0,0.0,0.0,0.0358,0.0,0.0,0.0145,0.025,0.0,0.0,0.0034,0.0123,0.0,0.1136,0.0391,0.0,0.1017,0.0,0.0,0.0559,600,590,530,24,23,23,,670,690,630,29,30,28,,0.5794,0.5794,1274,1274,635,640,580,27,27,26,,0.3749,0.3662,0.7905442551,0.6839,0.6602,0.543337645537,0.107073643411,24522,,,,,10184,,,,11264,,,,24057,,,,13532,,,,17146,,,,20115,,,,23839,,,,23400,,,,18706,11778,,,,856,,,,212,,,,281,,,,101,,,,123,,,,139,26872,,,,,,,,,,,,,,42900,47600,51800,55500,59600,9869,16,16,15,1,1,,24,1,0,1,0,0,11856,1,21,9864,1,3,3,0.6915,2,0.2314458494,0.139362287,0.1506322155,0.1179219351,22.286146234,20363.188387,66965.767455,,,,,,11156,11.2799997329711,46405,83010.29,3277,0.15999999642372,14.8100004196167,5.28000020980835,22.1299991607666,4.69000005722045,68.2600021362304,87.5299987792968,20.75,0.1475,4.92000007629394,0.7869708631,0.4939527213,0.2740181269,0.0470038483
1416,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,,0.0271,0.0114,0.0114,0.0754,0.1167,0.0602,0.0,0.0875,0.0,0.0192,0.0,0.1441,0.0208,0.0196,0.0171,0.0496,0.0116,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0031,0.0093,0.0315,0.0,0.0044,0.0204,0.0,0.0385,0.001,0.0,0.1752,0.0,0.0,0.0225,640,650,,29,29,27,,710,760,,33,35,33,,0.4716,0.4716,1390,1390,675,705,,31,32,30,,0.3181,0.3035,0.8023462011,0.8618,0.8573,0.742888402626,0.101307966706,25919,,,,,7980,,,,9639,,,,24339,,,,12367,,,,14929,,,,17149,,,,23817,,,,22474,,,,18457,10595,,,,1425,,,,278,,,,564,,,,169,,,,195,,,,219,35216,,,,,,,,,,,,,,50100,55000,59500,62800,70800,13045,15,16,15,1,1,,24,1,0,1,0,0,15100,1,21,14839,1,3,3,0.7799,2,0.3466102851,0.1192197517,0.1370890738,0.13081435,20.78256718,19571.962359,91754.205838,,,,,,30184,11.3599996566772,67353,90010.73,9769,0.09000000357627,17.3199996948242,6.36999988555908,20.4400005340576,6.51999998092651,67.8199996948242,84.0400009155273,22.5499992370605,0.0643,4.42999982833862,0.8912835902,0.508934661,0.2242705763,0.0255081162
1417,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9798,500,530,500,22,22,19,,630,660,630,29,31,27,,0.6426,0.6426,1178,1178,565,595,565,26,27,23,,0.4454,0.4437,0.9320987654,0.6993,0.7096,0.672268907563,0.127906976744,61990,,,32865,,,,34544,,,,43870,,,,38035,,,,40691,,,,43150,,,,43643,,,,42419,,,,,40073,,48630,,200,,,,52,,,,81,,,,25,,,,27,,,,15,,,48630,,,,,,,,,,,,,,30200,30800,37300,32900,41200,8198,30,11,14,2,2,,24,1,0,1,0,0,16438,1,11,29865,1,3,3,1.0,2,0.3703703704,0.1090534979,0.1234567901,0.1316872428,20.5,21088.928571,94970.893004,,,,,,1774,11.2299995422363,73007,80395.11,773,0.07000000029802,15.3599996566772,4.3600001335144,11.6499996185302,6.88999986648559,79.5999984741211,88.0400009155273,22.0200004577636,0.0692,5.44999980926513,0.9135802469,0.7222222222,0.1738197425,
1418,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,,0.0187,0.0,0.0,0.0913,0.2178,0.0,0.0,0.0373,0.0,0.0124,0.0228,0.0145,0.0353,0.0622,0.0,0.0394,0.0083,0.1535,0.0,0.0,0.0,0.0041,0.0,0.0,0.0373,0.0,0.0954,0.0,0.0,0.0062,0.0,0.0249,0.0,0.0,0.0726,0.0,0.0228,0.0228,440,430,360,15,13,15,6,530,520,450,20,20,18,8,0.5411,0.5411,960,960,485,475,405,18,17,17,7,0.6377,0.6908,0.8697596423,0.3855,0.3841,0.373291272345,0.21935483871,24376,,,,,15997,,,,16461,,,,23362,,,,17477,,,,17609,,,,17797,,,,21760,,,,20232,,,,17745,8302,,,,407,,,,182,,,,41,,,,83,,,,58,,,,43,18508,,,,,,,,,,,,,,29100,33500,36400,39500,40400,8202,16,14,11,1,1,,24,1,0,1,0,0,13153,1,31,4129,1,3,3,0.7264,2,0.1084404695,0.183901621,0.147568474,0.1268865288,20.372833985,13502.154206,47921.198994,,,,,,2538,11.0299997329711,34148,66039.83,1258,0.07000000029802,9.72999954223632,3.23000001907348,46.9000015258789,5.65999984741211,44.7799987792968,88.620002746582,15.0100002288818,0.1276,9.47999954223632,0.8803801006,0.5885969816,0.3575063613,0.0195640022
1422,0,1,1,1,1,1,1,1,0,1,0,2,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,,0.0,0.039,0.0,0.0451,0.2177,0.0711,0.0069,0.0408,0.0,0.0755,0.0,0.1526,0.0104,0.0564,0.0,0.0173,0.0069,0.0,0.0,0.0477,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0035,0.0,0.0538,0.0494,0.0,0.0685,0.0,0.0,0.0269,450,470,,16,14,16,,530,550,,20,20,19,,0.6625,0.6625,998,998,490,510,,18,17,18,,0.657,0.705,0.8901488306,0.3894,0.3821,0.377397260274,0.255639097744,24084,,,,,14122,,,,14512,,,,21853,,,,15369,,,,16865,,,,18402,,,,21278,,,,20554,,,,16991,7900,,,,656,,,,253,,,,98,,,,115,,,,112,,,,78,18167,,,,,,,,,,,,,,30300,33500,35700,41900,42600,8742,16,13,11,1,1,,24,1,0,1,0,0,8754,1,11,6881,1,3,3,0.6872,2,0.131112686,0.1824946846,0.1608788094,0.1112686038,21.506378455,19026.47505,50700.816442,,,,,,6404,11,36276.5,63566.62,2315,0.10000000149011,9.76000022888183,3.14000010490417,52.2599983215332,6.15000009536743,39.1800003051757,87.7600021362304,14.7600002288818,0.1672,10.5200004577636,0.8224663359,0.5864635011,0.3310118804,0.0304748405
1423,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,,0.0,0.0,0.0,0.0775,0.2864,0.0587,0.0,0.0329,0.0,0.0469,0.0,0.0,0.0352,0.0117,0.006999999999999999,0.0423,0.0282,0.0023,0.0,0.0,0.0,0.0164,0.0,0.0,0.0164,0.006999999999999999,0.0516,0.0,0.0164,0.0141,0.0,0.0634,0.0,0.0,0.1573,0.0117,0.0,0.0164,490,510,450,18,17,16,,590,620,560,25,24,25,,0.6813,0.6813,1104,1104,540,565,505,22,21,21,,0.6147,0.7088,0.9233668342,0.6421,0.6369,0.649859943978,0.087719298246,55420,,,20037,,,,22305,,,,31584,,,,26949,,,,27644,,,,28199,,,,31452,,,,31175,,,,,28060,,41350,,405,,,,88,,,,149,,,,43,,,,54,,,,71,,,41350,,,,,,,,,,,,,,42000,46100,51600,53300,56600,7766,19,11,12,2,2,,24,1,0,1,0,0,8677,1,31,17060,1,3,3,0.9928,2,0.391959799,0.1319095477,0.1231155779,0.1708542714,20.844221106,39944.989474,98287.605528,,,,,,1822,11.2700004577636,82573.5,81781.05,941,0.07000000029802,12.5500001907348,3.23000001907348,11.5,4.21000003814697,81.7600021362304,90.9899978637695,18.9200000762939,0.09300000000000001,4.28000020980835,0.8806532663,0.5489949749,0.232712766,0.0603015075
1426,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,1,,0.0,0.0,0.0,0.0349,0.0611,0.0262,0.0,0.0,0.0,0.0,0.0,0.0,0.0218,0.0,0.0,0.4803,0.0087,0.0,0.0,0.1528,0.0,0.0,0.0,0.0,0.1004,0.0,0.0,0.0,0.0131,0.0175,0.0,0.0175,0.0,0.0,0.0524,0.0,0.0,0.0131,470,460,,22,,,,600,540,,26,,,,0.8763,0.8763,1069,1069,535,500,,24,,,,0.5709,0.6396,0.8512585812,0.5313,0.4793,0.517730496454,0.124542124542,50492,,,29509,,,,29462,,,,35742,,,,26649,,,,24371,,,,22092,,,,35742,,,,,,,,,29444,,36900,,126,,,,120,,,,2,,,,2,,,,2,,,,0,,,36900,,,,,,,,,,,,,,47200,46200,47600,48900,56400,7023,18,10,7,2,2,,24,1,0,1,0,1,11725,1,11,17597,1,3,3,0.4694,2,0.1533180778,0.1693363844,0.1853546911,0.1464530892,27.924485126,49561.915612,57057.329519,,,,,,835,11.119999885559,45320,70799.46,247,0.4699999988079,11.2100000381469,2.98000001907348,24.5599994659423,3.24000000953674,69.2900009155273,91.8899993896484,16.7700004577636,0.435,6.71000003814697,0.4576659039,0.938215103,0.4094292804,0.2059496568
1430,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,,0.0,0.0,0.0,0.0571,0.1612,0.0774,0.0,0.0491,0.0,0.0993,0.0,0.0,0.0235,0.0,0.0069,0.0689,0.0246,0.0,0.0,0.0288,0.0,0.0139,0.0,0.0,0.0267,0.0283,0.0785,0.0,0.0021,0.0299,0.0,0.0635,0.0603,0.0,0.0598,0.0,0.0,0.04,,,,,,,,,,,,,,,0.6217,0.6217,,,,,,,,,,0.5054,0.5366,0.9023840206,0.6849,0.6973,0.638095238095,0.095776323617,24288,,,,,9379,,,,10970,,,,22337,,,,13740,,,,15666,,,,17459,,,,21824,,,,20571,,,,17686,9824,,,,674,,,,141,,,,259,,,,81,,,,87,,,,106,19526,,,,,,,,,,,,,,40000,43200,46800,48800,54200,8015,18,13,13,1,1,,24,1,0,1,0,0,8228,1,23,7258,1,3,3,0.6633,2,0.3263530928,0.1134020619,0.1520618557,0.1565721649,21.126610825,21439.166247,84472.395619,,,,,,7444,11.1999998092651,69454,77177.93,2654,0.09000000357627,11.3000001907348,2.81999993324279,16.579999923706,3.02999997138977,77.620002746582,92.5899963378906,17.6499996185302,0.0803,5.23000001907348,0.8721005155,0.5956829897,0.2917236662,0.0286726804
1431,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,,0.0,0.0,0.0058,0.1623,0.0,0.0,0.0,0.0725,0.0,0.0,0.0,0.0,0.0696,0.0,0.0261,0.0,0.057999999999999996,0.0,0.0,0.0,0.0,0.0464,0.0,0.0,0.0087,0.0348,0.0,0.0,0.0232,0.028999999999999998,0.0,0.142,0.0087,0.0,0.2435,0.0,0.0,0.0696,540,520,,23,21,21,,650,640,,28,27,28,,0.8006,0.8006,1188,1188,595,580,,26,24,25,,0.6847,0.8133,0.9110707804,0.7995,0.7907,,0.059561128527,29220,,,,,8882,,,,10647,,,,24905,,,,12832,,,,14350,,,,15316,,,,24050,,,,20965,,,,20637,14806,,,,269,,,,26,,,,148,,,,21,,,,33,,,,41,30568,,,,,,,,,,,,,,38600,41400,44200,51000,55200,7402,21,11,15,1,1,,24,1,0,1,0,0,15256,1,23,10487,1,3,3,0.7353,2,0.4010889292,0.0852994555,0.1343012704,0.1597096189,20.370235935,14966.340426,95033.880218,,,,,,1538,11.3199996948242,85000,85886.58,675,0.02999999932944,15.4200000762939,3.86999988555908,16.4599990844726,4.44999980926513,75.6600036621093,89.4499969482422,20.7999992370605,0.0401,4.61999988555908,0.9147005445,0.5970961887,0.2328244275,
1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630,570,,24,24,22,,740,720,,33,35,30,,0.5761,0.5761,1331,1331,685,645,,29,30,26,,0.5189,0.4385,,0.7551,0.7059,,0.103092783505,65163,,,14407,,,,13545,,,,42123,,,,11821,,,,13318,,,,14483,,,,33097,,,,23507,,,,,23921,,53343,,63,,,,14,,,,17,,,,7,,,,9,,,,16,,,53343,,,,,,,,,,,,,,31600,33000,39500,37800,42000,9699,21,8,14,2,2,,24,1,0,1,0,0,16050,1,21,14452,1,3,3,1.0,2,0.3913043478,0.0807453416,0.1677018634,0.1614906832,20.546583851,14911.9375,105970.63975,,,,,,474,11.119999885559,80000,72041.37,244,0.05000000074505,14.369999885559,3.50999999046325,8.85999965667724,7.63999986648559,81.3799972534179,89.4599990844726,20.5400009155273,0.0524,6.51000022888183,0.900621118,0.4099378882,,
1433,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,2,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,,0.0,0.0,0.015,0.0436,0.1475,0.0859,0.0,0.0636,0.0,0.092,0.0,0.0,0.0245,0.0043,0.005,0.1323,0.0095,0.003,0.0,0.0,0.0,0.0085,0.0,0.0,0.0076,0.0108,0.0705,0.0,0.0022,0.0156,0.0,0.0775,0.027999999999999997,0.0,0.1046,0.0,0.0,0.0484,540,520,490,20,20,18,7,610,590,580,25,25,25,8,0.79,0.79,1131,1131,575,555,535,23,23,22,8,0.4967,0.5555,0.8560870172,0.7264,0.7217,0.708404219122,0.076390669059,24733,,,,,9390,,,,10662,,,,23694,,,,12546,,,,15498,,,,18091,,,,23418,,,,22844,,,,18186,9940,,,,1406,,,,289,,,,473,,,,195,,,,222,,,,227,23208,,,,,,,,,,,,,,41900,45300,49000,51200,55100,7347,17,16,13,1,1,,24,1,0,1,0,0,6865,1,13,6931,1,3,3,0.5256,2,0.2888021196,0.1358248501,0.1500488077,0.1412634221,21.479152141,21140.612652,78617.183377,,,,,,19623,11.25,59362,80470.71,5485,0.12999999523162,12.9399995803833,3.53999996185302,18.9699993133544,3.34999990463256,74.3099975585937,90.9300003051757,19.2299995422363,0.1145,4.98000001907348,0.8390740482,0.6269697392,0.2895995218,0.0337470367
1436,0,0,0,1,2,1,0,1,0,1,0,0,1,1,0,2,1,2,2,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,,0.0,0.0,0.0,0.0502,0.2246,0.0167,0.0,0.0693,0.0,0.08,0.0,0.0,0.0072,0.0323,0.0,0.2521,0.006,0.0585,0.0406,0.0,0.0,0.0036,0.0,0.0,0.043,0.0024,0.0,0.0,0.0,0.0072,0.0,0.0502,0.0,0.0,0.0,0.0,0.0,0.0562,520,510,450,19,17,17,,610,590,550,24,24,24,,0.7316,0.7316,1113,1113,565,550,500,22,21,21,,0.6049,0.6149,0.9106078665,0.5592,0.5498,0.557883131202,0.110730593607,50032,,,16835,,,,18860,,,,29497,,,,23526,,,,25964,,,,27809,,,,29601,,,,29859,,,,,26099,,36242,,638,,,,136,,,,260,,,,59,,,,78,,,,105,,,36242,,,,,,,,,,,,,,43800,46400,49000,54500,54600,8250,18,14,13,2,2,,24,1,0,1,0,0,10909,1,41,16453,1,3,3,0.3243,2,0.2830750894,0.1299165673,0.1656734207,0.1573301549,21.637663886,37885.093525,80440.603099,,,,,,3087,11.1800003051757,63596,74334.54,1462,0.12999999523162,11.1099996566772,2.67000007629394,20.0200004577636,2.21000003814697,74.7300033569336,93.0599975585937,17.4799995422363,0.1513,5.42999982833862,0.8343265793,0.6609058403,0.3069435432,0.0494636472
1437,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,,0.0,0.0,0.0031,0.1599,0.2006,0.0,0.0,0.0219,0.0,0.0,0.0,0.0,0.069,0.0,0.0031,0.0,0.0408,0.0,0.0,0.0313,0.0,0.0125,0.0,0.0,0.0,0.069,0.0,0.0,0.0094,0.0282,0.0,0.1034,0.0,0.0,0.1944,0.0,0.0,0.0533,,,,,,,,,,,,,,,0.6357,0.6357,,,,,,,,,,0.5761,0.626,0.9517857143,0.6826,0.7236,,0.083941605839,59375,,,12619,,,,15504,,,,35318,,,,20023,,,,22026,,,,23847,,,,33514,,,,28959,,,,,26718,,46978,,251,,,,47,,,,101,,,,30,,,,33,,,,40,,,46978,,,,,,,,,,,,,,40700,41800,47700,50500,56500,7989,21,11,14,2,2,,24,1,0,1,0,0,15610,1,32,21746,1,3,3,0.7229,2,0.4339285714,0.0803571429,0.1553571429,0.1589285714,19.401785714,6443.1666667,108391.19107,,,,,,1342,11.2799997329711,88294.5,83448.41,778,0,14.0699996948242,2.96000003814697,11.3199996948242,3.25,82.8600006103515,91.9000015258789,20.1499996185302,0.0142,4.19000005722045,0.9785714286,0.6089285714,0.1603773585,
