dev-category,VARIABLE NAME,developer-friendly name,API data type,NAME OF DATA ELEMENT,VALUE,LABEL,SOURCE,NOTES
academics,CIP30BACHL,program.bachelors.multidiscipline,integer,Bachelor's degree in Multi/Interdisciplinary Studies.,(blank),(blank),IPEDS,ibid
academics,CIP03BACHL,program.bachelors.resources,integer,Bachelor's degree in Natural Resources And Conservation.,(blank),(blank),IPEDS,ibid
academics,CIP31BACHL,program.bachelors.parks_recreation_fitness,integer,"Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies.",(blank),(blank),IPEDS,ibid
academics,CIP12BACHL,program.bachelors.personal_culinary,integer,Bachelor's degree in Personal And Culinary Services.,(blank),(blank),IPEDS,ibid
academics,CIP38BACHL,program.bachelors.philosophy_religious,integer,Bachelor's degree in Philosophy And Religious Studies.,(blank),(blank),IPEDS,ibid
academics,CIP40BACHL,program.bachelors.physical_science,integer,Bachelor's degree in Physical Sciences.,(blank),(blank),IPEDS,ibid
academics,CIP48BACHL,program.bachelors.precision_production,integer,Bachelor's degree in Precision Production.,(blank),(blank),IPEDS,ibid
academics,CIP42BACHL,program.bachelors.psychology,integer,Bachelor's degree in Psychology.,(blank),(blank),IPEDS,ibid
academics,CIP44BACHL,program.bachelors.public_administration_social_service,integer,Bachelor's degree in Public Administration And Social Service Professions.,(blank),(blank),IPEDS,ibid
academics,CIP41BACHL,program.bachelors.science_technology,integer,Bachelor's degree in Science Technologies/Technicians.,(blank),(blank),IPEDS,ibid
academics,CIP45BACHL,program.bachelors.social_science,integer,Bachelor's degree in Social Sciences.,(blank),(blank),IPEDS,ibid
academics,CIP39BACHL,program.bachelors.theology_religious_vocation,integer,Bachelor's degree in Theology And Religious Vocations.,(blank),(blank),IPEDS,ibid
academics,CIP49BACHL,program.bachelors.transportation,integer,Bachelor's degree in Transportation And Materials Moving.,(blank),(blank),IPEDS,ibid
academics,CIP50BACHL,program.bachelors.visual_performing,integer,Bachelor's degree in Visual And Performing Arts.,(blank),(blank),IPEDS,ibid
academics,CIPCODE1,program_reporter.program_1.cip_6_digit.code,string,CIP code of largest program,(blank),(blank),IPEDS,(blank)
academics,CIPCODE2,program_reporter.program_2.cip_6_digit.code,string,CIP code of program #2,(blank),(blank),IPEDS,(blank)
academics,CIPCODE3,program_reporter.program_3.cip_6_digit.code,string,CIP code of program #3,(blank),(blank),IPEDS,(blank)
academics,CIPCODE4,program_reporter.program_4.cip_6_digit.code,string,CIP code of program #4,(blank),(blank),IPEDS,(blank)
academics,CIPCODE5,program_reporter.program_5.cip_6_digit.code,string,CIP code of program #5,(blank),(blank),IPEDS,(blank)
academics,CIPCODE6,program_reporter.program_6.cip_6_digit.code,string,CIP code of program #6,(blank),(blank),IPEDS,(blank)
academics,CIPTITLE1,program_reporter.program_1.cip_6_digit.title,string,CIP text description of largest program,(blank),(blank),IPEDS,(blank)
academics,CIPTITLE2,program_reporter.program_2.cip_6_digit.title,string,CIP text description of program #2,(blank),(blank),IPEDS,(blank)
academics,CIPTITLE3,program_reporter.program_3.cip_6_digit.title,string,CIP text description of program #3,(blank),(blank),IPEDS,(blank)
academics,CIPTITLE4,program_reporter.program_4.cip_6_digit.title,string,CIP text description of program #4,(blank),(blank),IPEDS,(blank)
academics,CIPTITLE5,program_reporter.program_5.cip_6_digit.title,string,CIP text description of program #5,(blank),(blank),IPEDS,(blank)
academics,CIPTITLE6,program_reporter.program_6.cip_6_digit.title,string,CIP text description of program #6,(blank),(blank),IPEDS,(blank)
academics,PRGMOFR,program_reporter.programs_offered,integer,Number of programs offered,(blank),(blank),IPEDS,(blank)
academics,PCIP01,program_percentage.agriculture,float,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",(blank),"Agriculture, Agriculture Operations, and Related Sciences",IPEDS,(blank)
academics,PCIP04,program_percentage.architecture,float,Percentage of degrees awarded in Architecture And Related Services.,(blank),Architecture and Related Services,IPEDS,(blank)
academics,PCIP05,program_percentage.ethnic_cultural_gender,float,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",(blank),"Area, Ethnic, Cultural, Gender, and Group Studies",IPEDS,(blank)
academics,PCIP26,program_percentage.biological,float,Percentage of degrees awarded in Biological And Biomedical Sciences.,(blank),Biological and Biomedical Sciences,IPEDS,(blank)
academics,PCIP52,program_percentage.business_marketing,float,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",(blank),"Business, Management, Marketing, and Related Support Services",IPEDS,(blank)
academics,PCIP09,program_percentage.communication,float,"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",(blank),"Communication, Journalism, and Related Programs",IPEDS,(blank)
academics,PCIP10,program_percentage.communications_technology,float,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,(blank),Communications Technologies/Technicians and Support Services,IPEDS,(blank)
academics,PCIP11,program_percentage.computer,float,Percentage of degrees awarded in Computer And Information Sciences And Support Services.,(blank),Computer and Information Sciences and Support Services,IPEDS,(blank)
academics,PCIP46,program_percentage.construction,float,Percentage of degrees awarded in Construction Trades.,(blank),Construction Trades,IPEDS,(blank)
academics,PCIP13,program_percentage.education,float,Percentage of degrees awarded in Education.,(blank),Education,IPEDS,(blank)
academics,PCIP15,program_percentage.engineering_technology,float,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,(blank),Engineering Technologies and Engineering-Related Fields,IPEDS,(blank)
academics,PCIP14,program_percentage.engineering,float,Percentage of degrees awarded in Engineering.,(blank),Engineering,IPEDS,(blank)
academics,PCIP23,program_percentage.english,float,Percentage of degrees awarded in English Language And Literature/Letters.,(blank),English Language and Literature/Letters,IPEDS,(blank)
academics,PCIP19,program_percentage.family_consumer_science,float,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,(blank),Family and Consumer Sciences/Human Sciences,IPEDS,(blank)
academics,PCIP16,program_percentage.language,float,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",(blank),"Foreign Languages, Literatures, and Linguistics",IPEDS,(blank)
academics,PCIP51,program_percentage.health,float,Percentage of degrees awarded in Health Professions And Related Programs.,(blank),Health Professions and Related Programs,IPEDS,(blank)
academics,PCIP54,program_percentage.history,float,Percentage of degrees awarded in History.,(blank),History,IPEDS,(blank)
academics,PCIP43,program_percentage.security_law_enforcement,float,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",(blank),"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",IPEDS,(blank)
academics,PCIP22,program_percentage.legal,float,Percentage of degrees awarded in Legal Professions And Studies.,(blank),Legal Professions and Studies,IPEDS,(blank)
academics,PCIP24,program_percentage.humanities,float,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",(blank),"Liberal Arts and Sciences, General Studies and Humanities",IPEDS,(blank)
academics,PCIP25,program_percentage.library,float,Percentage of degrees awarded in Library Science.,(blank),Library Science,IPEDS,(blank)
academics,PCIP27,program_percentage.mathematics,float,Percentage of degrees awarded in Mathematics And Statistics.,(blank),Mathematics and Statistics,IPEDS,(blank)
academics,PCIP47,program_percentage.mechanic_repair_technology,float,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,(blank),Mechanic and Repair Technologies/Technicians,IPEDS,(blank)
academics,PCIP29,program_percentage.military,float,Percentage of degrees awarded in Military Technologies And Applied Sciences.,(blank),Military Technologies and Applied Sciences,IPEDS,(blank)
academics,PCIP30,program_percentage.multidiscipline,float,Percentage of degrees awarded in Multi/Interdisciplinary Studies.,(blank),Multi/Interdisciplinary Studies,IPEDS,(blank)
academics,PCIP03,program_percentage.resources,float,Percentage of degrees awarded in Natural Resources And Conservation.,(blank),Natural Resources and Conservation,IPEDS,(blank)
academics,PCIP31,program_percentage.parks_recreation_fitness,float,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",(blank),"Parks, Recreation, Leisure, and Fitness Studies",IPEDS,(blank)
academics,PCIP12,program_percentage.personal_culinary,float,Percentage of degrees awarded in Personal And Culinary Services.,(blank),Personal and Culinary Services,IPEDS,(blank)
academics,PCIP38,program_percentage.philosophy_religious,float,Percentage of degrees awarded in Philosophy And Religious Studies.,(blank),Philosophy and Religious Studies,IPEDS,(blank)
academics,PCIP40,program_percentage.physical_science,float,Percentage of degrees awarded in Physical Sciences.,(blank),Physical Sciences,IPEDS,(blank)
academics,PCIP48,program_percentage.precision_production,float,Percentage of degrees awarded in Precision Production.,(blank),Precision Production,IPEDS,(blank)
academics,PCIP42,program_percentage.psychology,float,Percentage of degrees awarded in Psychology.,(blank),Psychology,IPEDS,(blank)
academics,PCIP44,program_percentage.public_administration_social_service,float,Percentage of degrees awarded in Public Administration And Social Service Professions.,(blank),Public Administration and Social Service Professions,IPEDS,(blank)
academics,PCIP41,program_percentage.science_technology,float,Percentage of degrees awarded in Science Technologies/Technicians.,(blank),Science Technologies/Technicians,IPEDS,(blank)
academics,PCIP45,program_percentage.social_science,float,Percentage of degrees awarded in Social Sciences.,(blank),Social Sciences,IPEDS,(blank)
academics,PCIP39,program_percentage.theology_religious_vocation,float,Percentage of degrees awarded in Theology And Religious Vocations.,(blank),Theology and Religious Vocations,IPEDS,(blank)
academics,PCIP49,program_percentage.transportation,float,Percentage of degrees awarded in Transportation And Materials Moving.,(blank),Transportation and Materials Moving,IPEDS,(blank)
academics,PCIP50,program_percentage.visual_performing,float,Percentage of degrees awarded in Visual And Performing Arts.,(blank),Visual and Performing Arts,IPEDS,(blank)
admissions,SATVR25,sat_scores.25th_percentile.critical_reading,float,25th percentile of SAT scores at the institution (critical reading),(blank),(blank),IPEDS,Shown/used on consumer website.
admissions,SATMT25,sat_scores.25th_percentile.math,float,25th percentile of SAT scores at the institution (math),(blank),(blank),IPEDS,Shown/used on consumer website.
admissions,SATWR25,sat_scores.25th_percentile.writing,float,25th percentile of SAT scores at the institution (writing),(blank),(blank),IPEDS,(blank)
admissions,ACTCM25,act_scores.25th_percentile.cumulative,float,25th percentile of the ACT cumulative score,(blank),(blank),IPEDS,Shown/used on consumer website.
admissions,ACTEN25,act_scores.25th_percentile.english,float,25th percentile of the ACT English score,(blank),(blank),IPEDS,(blank)
admissions,ACTMT25,act_scores.25th_percentile.math,float,25th percentile of the ACT math score,(blank),(blank),IPEDS,(blank)
admissions,ACTWR25,act_scores.25th_percentile.writing,float,25th percentile of the ACT writing score,(blank),(blank),IPEDS,(blank)
admissions,SATVR75,sat_scores.75th_percentile.critical_reading,float,75th percentile of SAT scores at the institution (critical reading),(blank),(blank),IPEDS,Shown/used on consumer website.
admissions,SATMT75,sat_scores.75th_percentile.math,float,75th percentile of SAT scores at the institution (math),(blank),(blank),IPEDS,Shown/used on consumer website.
admissions,SATWR75,sat_scores.75th_percentile.writing,float,75th percentile of SAT scores at the institution (writing),(blank),(blank),IPEDS,(blank)
admissions,ACTCM75,act_scores.75th_percentile.cumulative,float,75th percentile of the ACT cumulative score,(blank),(blank),IPEDS,Shown/used on consumer website.
admissions,ACTEN75,act_scores.75th_percentile.english,float,75th percentile of the ACT English score,(blank),(blank),IPEDS,(blank)
admissions,ACTMT75,act_scores.75th_percentile.math,float,75th percentile of the ACT math score,(blank),(blank),IPEDS,(blank)
admissions,ACTWR75,act_scores.75th_percentile.writing,float,75th percentile of the ACT writing score,(blank),(blank),IPEDS,(blank)
admissions,ADM_RATE,admission_rate.overall,float,Admission rate,(blank),(blank),IPEDS,(blank)
admissions,ADM_RATE_ALL,admission_rate.by_ope_id,float,Admission rate for all campuses rolled up to the 6-digit OPE ID,(blank),(blank),IPEDS,(blank)
admissions,SAT_AVG,sat_scores.average.overall,float,Average SAT equivalent score of students admitted,(blank),(blank),IPEDS,(blank)
admissions,SAT_AVG_ALL,sat_scores.average.by_ope_id,float,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,(blank),(blank),IPEDS,(blank)
admissions,SATVRMID,sat_scores.midpoint.critical_reading,float,Midpoint of SAT scores at the institution (critical reading),(blank),(blank),IPEDS,Shown/used on consumer website.
admissions,SATMTMID,sat_scores.midpoint.math,float,Midpoint of SAT scores at the institution (math),(blank),(blank),IPEDS,Shown/used on consumer website.
admissions,SATWRMID,sat_scores.midpoint.writing,float,Midpoint of SAT scores at the institution (writing),(blank),(blank),IPEDS,(blank)
admissions,ACTCMMID,act_scores.midpoint.cumulative,float,Midpoint of the ACT cumulative score,(blank),(blank),IPEDS,Shown/used on consumer website.
admissions,ACTENMID,act_scores.midpoint.english,float,Midpoint of the ACT English score,(blank),(blank),IPEDS,(blank)
admissions,ACTMTMID,act_scores.midpoint.math,float,Midpoint of the ACT math score,(blank),(blank),IPEDS,(blank)
admissions,ACTWRMID,act_scores.midpoint.writing,float,Midpoint of the ACT writing score,(blank),(blank),IPEDS,(blank)
aid,CUML_DEBT_P10,cumulative_debt.10th_percentile,integer,Cumulative loan debt at the 10th percentile,(blank),(blank),NSLDS,(blank)
aid,CUML_DEBT_P25,cumulative_debt.25th_percentile,integer,Cumulative loan debt at the 25th percentile,(blank),(blank),NSLDS,(blank)
aid,CUML_DEBT_P75,cumulative_debt.75th_percentile,integer,Cumulative loan debt at the 75th percentile,(blank),(blank),NSLDS,(blank)
aid,CUML_DEBT_P90,cumulative_debt.90th_percentile,integer,Cumulative loan debt at the 90th percentile,(blank),(blank),NSLDS,(blank)
aid,GRAD_DEBT_MDN10YR_SUPP,median_debt_suppressed.completers.monthly_payments,float,"Median debt of completers expressed in 10-year monthly payments, suppressed for n=30",(blank),(blank),NSLDS,(blank)
aid,GRAD_DEBT_MDN_SUPP,median_debt_suppressed.completers.overall,float,"Median debt of completers, suppressed for n=30",(blank),(blank),NSLDS,(blank)
aid,DEBT_MDN_SUPP,median_debt_suppressed.overall,float,"Median debt, suppressed for n=30",(blank),(blank),NSLDS,(blank)
aid,GRAD_DEBT_MDN10YR,median_debt.completers.monthly_payments,float,Median loan debt of completers in monthly payments (10-year amortization plan),(blank),(blank),NSLDS,(blank)
aid,CUML_DEBT_N,cumulative_debt.number,integer,Number of students in the cumulative loan debt cohort,(blank),(blank),NSLDS,(blank)
aid,PCTFLOAN,federal_loan_rate,float,Percent of all undergraduate students receiving a federal student loan,(blank),(blank),IPEDS,"The proportion of undergraduates who received a federal loan in the academic year, calculated from values from the IPEDS Student Financial Aid component. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2009-10 academic year."
aid,FTFTPCTFLOAN_POOLED_SUPP,ftft_federal_loan_rate_pooled,float,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a federal loan, pooled in rolling averages and suppressed for small n size",(blank),(blank),IPEDS,"Shown/used on consumer website;    The proportion of full-time, first-time undergraduates who received a federal loan in the academic year, calculated from values from the IPEDS Student Financial Aid component. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2009-10 academic year."
aid,FTFTPCTPELL_POOLED_SUPP,ftft_pell_grant_rate_pooled,float,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a Pell Grant, pooled in rolling averages and suppressed for small n size",(blank),(blank),IPEDS,"Shown/used on consumer website;    The proportion of full-time, first-time undergraduates who received a Pell grant in the academic year, calculated from the IPEDS Student Financial Aid component. This metric is calculated by IPEDS as the quotient of the number of full-time, first-time Pell grant recipients divided by the count of all full-time, first-time undergraduates for either a fall enrollment cohort (for institutions that primarily follow an academic year calendar system) or a full-year enrollment cohort (for institutions that primarily follow a continuous enrollment or program-based calendar system). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2008-09 academic year."
aid,LOAN_EVER,students_with_any_loan,float,Share of students who received a federal loan while in school,(blank),(blank),NSLDS,Data element describes the earnings cohort (without exclusions for military and in-school deferments in the measurement year)
aid,DEP_DEBT_MDN,median_debt.dependent_students,float,The median debt for dependent students,(blank),(blank),NSLDS,(blank)
aid,FEMALE_DEBT_MDN,median_debt.female_students,float,The median debt for female students,(blank),(blank),NSLDS,(blank)
aid,FIRSTGEN_DEBT_MDN,median_debt.first_generation_students,float,The median debt for first-generation students,(blank),(blank),NSLDS,(blank)
aid,IND_DEBT_MDN,median_debt.independent_students,float,The median debt for independent students,(blank),(blank),NSLDS,(blank)
aid,MALE_DEBT_MDN,median_debt.male_students,float,The median debt for male students,(blank),(blank),NSLDS,(blank)
aid,NOPELL_DEBT_MDN,median_debt.no_pell_grant,float,The median debt for no-Pell students,(blank),(blank),NSLDS,(blank)
aid,NOTFIRSTGEN_DEBT_MDN,median_debt.non_first_generation_students,float,The median debt for not-first-generation students,(blank),(blank),NSLDS,(blank)
aid,PELL_DEBT_MDN,median_debt.pell_grant,float,The median debt for Pell students,(blank),(blank),NSLDS,(blank)
aid,GRAD_DEBT_MDN,median_debt.completers.overall,float,The median debt for students who have completed,(blank),(blank),NSLDS,(blank)
aid,WDRAW_DEBT_MDN,median_debt.noncompleters,float,The median debt for students who have not completed,(blank),(blank),NSLDS,(blank)
aid,HI_INC_DEBT_MDN,median_debt.income.greater_than_75000,float,"The median debt for students with family income $75,001+",(blank),(blank),NSLDS,(blank)
aid,LO_INC_DEBT_MDN,median_debt.income.0_30000,float,"The median debt for students with family income between $0-$30,000",(blank),(blank),NSLDS,(blank)
aid,MD_INC_DEBT_MDN,median_debt.income.30001_75000,float,"The median debt for students with family income between $30,001-$75,000",(blank),(blank),NSLDS,(blank)
aid,DEBT_MDN,loan_principal,float,The median original amount of the loan principal upon entering repayment,(blank),(blank),NSLDS,(blank)
aid,DEBT_N,median_debt.number.overall,integer,The number of students in the median debt cohort,(blank),(blank),NSLDS,(blank)
aid,GRAD_DEBT_N,median_debt.number.completers,integer,The number of students in the median debt completers cohort,(blank),(blank),NSLDS,(blank)
aid,DEP_DEBT_N,median_debt.number.dependent_students,integer,The number of students in the median debt dependent students cohort,(blank),(blank),NSLDS,(blank)
aid,FEMALE_DEBT_N,median_debt.number.female_students,integer,The number of students in the median debt female students cohort,(blank),(blank),NSLDS,(blank)
aid,FIRSTGEN_DEBT_N,median_debt.number.first_generation_students,integer,The number of students in the median debt first-generation students cohort,(blank),(blank),NSLDS,(blank)
aid,HI_INC_DEBT_N,median_debt.number.income.greater_than_75000,integer,"The number of students in the median debt high-income (above $75,000 in nominal family income) students cohort",(blank),(blank),NSLDS,(blank)
aid,IND_DEBT_N,median_debt.number.independent_students,integer,The number of students in the median debt independent students cohort,(blank),(blank),NSLDS,(blank)
aid,LO_INC_DEBT_N,median_debt.number.income.0_30000,integer,"The number of students in the median debt low-income (less than or equal to $30,000 in nominal family income) students cohort",(blank),(blank),NSLDS,(blank)
aid,MALE_DEBT_N,median_debt.number.male_students,integer,The number of students in the median debt male students cohort,(blank),(blank),NSLDS,(blank)
aid,MD_INC_DEBT_N,median_debt.number.income.30001_75000,integer,"The number of students in the median debt middle-income (between $30,000 and $75,000 in nominal family income) students cohort",(blank),(blank),NSLDS,(blank)
aid,NOPELL_DEBT_N,median_debt.number.no_pell_grant,integer,The number of students in the median debt no-Pell students cohort,(blank),(blank),NSLDS,(blank)
aid,NOTFIRSTGEN_DEBT_N,median_debt.number.non_first_generation_students,integer,The number of students in the median debt not-first-generation students cohort,(blank),(blank),NSLDS,(blank)
aid,PELL_DEBT_N,median_debt.number.pell_grant,integer,The number of students in the median debt Pell students cohort,(blank),(blank),NSLDS,(blank)
aid,WDRAW_DEBT_N,median_debt.number.noncompleters,integer,The number of students in the median debt withdrawn cohort,(blank),(blank),NSLDS,(blank)
completion,C200_4,completion_rate_4yr_200nt,float,"Completion rate for first-time, full-time bachelor's-degree-seeking students at four-year institutions (200% of expected time to completion)",(blank),(blank),IPEDS,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate at the institution within 200 percent of normal time, calculated from the IPEDS 200 Percent Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate divided by the number of full-time, first-time, degree/certificate-seeking undergraduates in the corresponding completion rate cohort (D200_4, D200_L4). For full-time, first-time, bachelor's degree-seeking undergraduates, 200 percent of normal time is typically 8 years, and for full-time, first-time, associate's degree-seeking undergraduates it is typically 4 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies by the length of the program (for example, 12 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. Pooled figures include two cohorts of students."
completion,C150_4,completion_rate_4yr_150nt,float,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",(blank),(blank),IPEDS,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate at the institution within 150 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate divided by the number of full-time, first-time, degree/certificate-seeking undergraduates in the corresponding completion rate cohort (D150_4, D150_L4). For full-time, first-time, bachelor's degree-seeking undergraduates, 150 percent of normal time is typically 6 years, and for full-time, first-time, associate's degree-seeking undergraduates it is typically 3 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies by the length of the program (for example, 9 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. Pooled figures include two cohorts of students."
completion,C150_4_AIAN,completion_rate_4yr_150_aian,float,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students",(blank),(blank),IPEDS,"The proportion of American Indian/Alaska Native full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate at the institution within 150 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate divided by the number of full-time, first-time, degree/certificate-seeking undergraduates in the corresponding completion rate cohort. For full-time, first-time, bachelor's degree-seeking undergraduates, 150 percent of normal time is typically 6 years, and for full-time, first-time, associate's degree-seeking undergraduates it is typically 3 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies by the length of the program (for example, 9 months for a certificate with a normal completion time of 6 months). Race/ethnicity categories for completion rates have varied over time. Prior to the 2008-09 academic year, the categories were White non-Hispanic, Black non-Hispanic, Hispanic, Asian/Pacific Islander, American Indian/Alaska Native, Nonresident Alien, and Unknown. Starting in the 2011-12 academic year, the categories were White, Black/African American, Hispanic, Asian, American Indian/Alaska Native, Native Hawaiian/Other Pacific Islander, Two or More Races, Nonresident Alien, and Unknown. In the 2008-09, 2009-10, and 2010-11 academic years, institutions could use either set of categories. Additional information on changes to race/ethnicity categories is available at http://nces.ed.gov/ipeds/reic/resource.asp, and additional information on current categories is available at http://nces.ed.gov/ipeds/reic/definitions.asp. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
completion,C150_4_AIANOLD,completion_rate_4yr_150_aian_pre2010,float,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students",(blank),(blank),IPEDS,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map
